랠리	ラリー
닫습니다	閉じる
닫습니다	クローズ
독립기념일	独立
스캇	スコット
배너	バナー
배너	横断幕
의사당	キャピトル
방학	休暇
방학	バカンス
방학	バケーション
사우샘프턴	サウサンプトン
베네딕트	ベネディクト
도달	リーチ
가정부	メイド
플레어	フレア
인덱스	索引
인덱스	インデックス
플라워	flower
플라워	フラワー
아메드	アーメド
피어	ピア
리비우	リヴィウ
배운다	学習
배운다	学ぶ
멤버들	メンバー
멤버들	メンバ
애정	愛着
애정	愛情
위트레흐트	ユトレヒト
비스마르크	ビスマルク
볼륨	ボリューム
볼륨	体積
파도	波動
파도	ウェーブ
엘프	エルフ
웬디	ウェンディ
백조	白鳥
백조	スワン
심어	播種
스노우	スノー
스노우	snow
라디에이터	ラジエーター
외출	お出かけ
외출	アウティング
출판물	出版物
타라	タラ
마르코스	マルコス
바빌론	バビロン
발목	足首
새우	エビ
새우	シュリンプ
새우	海老
다코타	ダコタ
에식스	エセックス
페니	ペニー
혼돈	カオス
혼돈	混沌
레딩	レディング
워렌	ウォーレン
볼프	ウルフ
볼프	オオカミ
하이라이트	ハイライト
바닐라	バニラ
일관성	一貫性
알란	アラン
망치	ハンマー
망치	ハマー
주디	ジュディ
대각선	対角線
피타고라스	ピタゴラス
지리학	地理
멜로	メロ
카레	カレー
지브롤터	ジブラルタル
전자제품	エレクトロニクス
재산권	プロパティ
재산권	財産
글래스	グラス
글래스	ガラス
뱅크스	バンクス
부착	添付
부착	取り付ける
컴팩트	コンパクト
복숭아	ピーチ
복숭아	モモ
닝보	寧波市
사용법	使い方
쿠미코	久美子
자정	ミッドナイト
자정	真夜中
분사	インジェクション
분사	注射
싸이	psy
절단	切断
프로토타입	プロトタイプ
템플	テンプル
템플	寺院
템플	神殿
웰스	ウェルズ
에덴	エデン
지뢰	地雷
피보나치	フィボナッチ
코브라	コブラ
플라톤	プラトン
그리피스	グリフィス
정서	感情
현미경	顕微鏡
민트	ミント
롤리	ローリー
트로이아	トロイ
트로이아	イリオス
육체	肉体
아이튠즈	itunes
컨셉	概念
컨셉	コンセプト
트레이딩	取引
제우스	ゼウス
전화번호	電話機
긴장	緊張
긴장	テンション
지다	ジッダ
노구치	野口
질투	嫉妬
안젤로	アンジェラ
지부티	ジブチ
마이코	舞子
마이코	舞妓
개선하기	向上
개선하기	改善
플라스마	プラズマ
몽골족	モンゴル
프라이스	プライス
프라이스	対価
프라이스	値段
프라이스	価格
불규칙	不定期
불규칙	不規則
사자자리	レオ
사자자리	leo
스테파니	ステフ
킬로그램	キログラム
두부	豆腐
볼프스부르크	ヴォルフスブルク
쿠르드	クルディスタン
복장	服装
바니	バーニー
디아스	ディアス
볼리바르	ボリバル
천하무적	インヴィンシブル
모방	模倣
고민	トラブル
고민	悩み
그놈	ノーム
그놈	gnome
약사	薬剤師
용접	溶接
수프	スープ
측도	計測
측도	測定
사쿠라다	桜田
리라	リラ
트와일라잇	トワイライト
트와일라잇	たそがれ
나탈리	ナタリー
대문자	大文字
에밀리오	エミリオ
악용	誤用
악용	虐待
콕스	コックス
초보자	初心者
초보자	ビギナー
남동	南東
카슈미르	カシミール
블리치	ブリーチ
수수	スース
버니	バーニー
에리트레아	エリトリア
명목	名目
엘비스	エルヴィス
엘비스	エルビス
귀한	レア
대리인	エージェント
대리인	代理人
성기	陰茎
성기	ペニス
복수형	複数
양수	陽性
양수	ポジティブ
어색한	気まずい
미즈사와	水沢
피카츄	ピカチュウ
불가피한	やむを得ない
바바라	バーバラ
콤보	コンボ
레아	レア
아톰	原子
마시기	飲む
류블랴나	リュブリャナ
위생	衛生
팩터	ファクター
팩터	因子
팩터	係数
올라프	オラフ
사구	デューン
사구	砂丘
멸치	アンチョビ
노예제	奴隷
아쉬운	イージー
아쉬운	易しい
아쉬운	やさしい
아쉬운	簡単
유미코	由美子
집착	執着
음주	飲む
아이누	アイヌ
스프린트	スプリント
어리석은	愚か
호프만	ホフマン
팍스	pax
불만	不満
패티	パティ
하룻밤	一泊
하룻밤	一晩
보일러	ボイラー
신선	フレッシュ
에이커	エーカー
조차도	偶数
조차도	even
가루	粉末
가루	パウダー
구출	救助
구출	レスキュー
명소	アトラクション
세슘	セシウム
리히터	リヒター
아르곤	アルゴン
웨슬리	ウェズリー
니제르	ニジェール
숭배	崇拝
독성	毒性
트릭	トリック
코멘트	コメント
영사	領事
영사	執政官
루안다	ルアンダ
휘슬러	ウィスラー
도난	盗難
도난	窃盗
웨어	ウェア
그라츠	グラーツ
치사	殺人
탬파	タンパ
팔라우	パラオ
목장	牧場
마찰음	摩擦音
카리스마	カリスマ
주스	ジュース
자치령	自治領
헤이	ヘイ
매점	カフェテリア
펌웨어	ファームウェア
준수	従う
티나	ティナ
핑둥	屏東
펀드	資金
종속	依存性
종속	依存
명품	贅沢
크레인	クレーン
크레인	ツル
소주	ソジュ
젖은	濡れ
설문	アンケート
행크	ハンク
규소	シリコン
규소	ケイ素
태평	太平
위임	委任
위임	委嘱
슈나이더	シュナイダー
걸음	歩数
걸음	手順
걸음	ステップ
세븐틴	seventeen
할렐루야	ハレルヤ
주머니	ポケット
덮개	表紙
덮개	被覆
덮개	カバー
덮개	cover
스펀지	スポンジ
노키아	ノキア
클리프	クリフ
톰프슨	トンプソン
파푸아	パプア
록펠러	ロックフェラー
우치	ウッチ
우치	ウッチー
이고르	イーゴリ
맑음	晴れ
맑음	サニー
직사각형	長方形
최소화	最小限
재미	楽しい
히스	ヒース
몰수	没収
와카마쓰	若松
드라큘라	ドラキュラ
악화	加重
경매	せり
경매	競売
경매	オークション
테오도시우스	テオドシウス
콘티넨탈	コンチネンタル
칵테일	カクテル
머무르고	滞在
머무르고	ステイ
도표	ダイアグラム
동남아	東南
동남아	南東
카트만두	カトマンズ
프라이	フライ
스팀	スチーム
스팀	蒸気
아사카	安積
출퇴근	通勤
특사	使者
하우	ハウ
네이티브	ネイティブ
손잡이	ハンドル
코코넛	ココナッツ
고릴라	ゴリラ
하마	カバ
당뇨병	糖尿病
유방	乳房
유방	母乳
웃음	笑い
루가	ルカ
여관	宿屋
여관	旅館
콜론	コロン
아이유	子供
아이유	児童
먹어	食べる
먹어	eat
브랜던	ブランドン
기병대	騎兵
리아	リア
밀어	プッシュ
밀어	押す
품격	洒落
재혼	再婚
프롬	プロムス
계몽주의	悟り
부호화	コーディング
트랜잭션	取引
트랜잭션	トランザクション
우려	関心事
스미요시	住吉
루즈벨트	ルーズベルト
입국	到着
칠리	チリ
냠냠	yum
가방	バッグ
소크라테스	ソクラテス
조선소	造船
나가기	終了
나가기	exit
나가기	出口
몬테	モンテ
네기시	根岸
변종	variant
리프트	エレベーター
리프트	リフト
현대그룹	ヒュンダイ
도시락	昼食
도시락	ランチ
목적지	行き先
목적지	目的地
목적지	宛先
보정	校正
사랑스러운	素敵
데일	デイル
데일	デール
모리슨	モリソン
펜스	ペンス
표시하기	ディスプレイ
지킨	キーン
코다	コーダ
목걸이	ネックレス
벨리즈	ベリーズ
만족	満足
코모로	コモロ
안젤라	アンジェラ
연주회	コンサート
팽창	膨張
좌표계	座標
활성	アクティブ
섹시	セクシー
까마귀	レイヴン
나이프	ナイフ
측량	測量
훔쳐	盗む
캐런	カレン
일러스트레이터	イラストレーター
북동	北東
히라이	平井
조개	アサリ
조개	ハマグリ
지오	geo
웁살라	ウプサラ
바베이도스	バルバドス
카라치	カラチ
치앙마이	チェンマイ
플라이어스	チラシ
채팅	チャット
채팅	雑談
아디다스	アディダス
가속기	加速器
테라	テラ
계산기	電卓
계산기	計算機
에디터	エディタ
부끄러운	人見知り
부끄러운	シャイ
오마하	オマハ
엔트로피	エントロピー
하루코	春子
성교	性別
성교	セックス
테디	テディ
버크	バーク
클린트	クリント
스푸트니크	スプートニク
골짜기	バレー
골짜기	谷間
연구자	研究者
공작부인	公爵夫人
소프트볼	ソフトボール
커브	カーブ
커브	曲線
브르타뉴	ブルターニュ
모터스포츠	モータースポーツ
펄스	パルス
펄스	脈拍
오라클	oracle
오라클	オラクル
오라클	神託
베로니카	ベロニカ
갈매기	かもめ
크리드	信条
크리드	教義
천연두	天然痘
셔터	シャッター
사파리	サファリ
사파리	safari
스탭	スタッフ
우울증	うつ病
키워드	キーワード
접미사	サフィックス
콜라보레이션	コラボレーション
콜라보레이션	コラボ
자제	拘束
캘빈	カルヴィン
다이어트	ダイエット
다이어트	献立
다이어트	国会
라이트닝	ライトニング
고다마	児玉
고다마	こだま
투명	透明
투명	透明度
석기	ストーン
영감	インスピレーション
영감	インスパイア
엔비디아	nvidia
하르툼	ハルツーム
그렉	グレッグ
애비	アビー
두려움	恐怖
두려움	恐れ
도시바	東芝
코코아	ココア
대시	ダッシュ
진술	ステートメント
진술	声明
미스테리	ミステリー
보디가드	ボディーガード
보디가드	ボディガード
프레데터	捕食
원판	ネガ
다이고	醍醐
플래그	フラグ
플래그	国旗
미카미	マイカ
채무	債務
리턴	return
리턴	リターン
하이웨이	ハイウェイ
하이웨이	公道
동창	クラスメイト
동창	同級生
모욕을	侮蔑
모욕을	侮辱
요구사항	要件
캐롤라인	キャロライン
해고	解任
해고	免職
해고	棄却
해고	解雇
해고	却下
클랜	氏族
푸른색	青い
푸른색	ブルー
푸른색	青色
생생한	鮮やか
제이드	ヒスイ
페이퍼	書類
너구리	アライグマ
음식점	レストラン
형이상학	形而上学
피츠제럴드	フィッツジェラルド
깡패	ギャング
시프트	シフト
디펜스	ディフェンス
디펜스	防御
조언	助言
계기	計器
계기	道具
계기	楽器
해머	ハンマー
해머	ハマー
편집하기	編集
익명	アノニマス
익명	匿名
씨앗	種子
씨앗	シード
모세	モーゼ
모세	モーゼス
스토커	ストーカー
라우팅	ルーティング
채플린	チャップリン
주먹	こぶし
미르	ミール
수박	スイカ
록키	ロッキー
파운데이션	財団
파운데이션	ファンデーション
파운데이션	ファウンデーション
마릴린	マリリン
유권자	有権者
카타니아	カターニア
단발	のみ
디바	ディーバ
매카시	マッカーシー
메디나	マディーナ
엘리펀츠	ゾウ
웨이터	ウェイター
몽펠리에	モンペリエ
스피리츠	スピリッツ
거절	辞退
거절	不参加
항문	肛門
홀리데이	祝日
홀리데이	休日
홀리데이	ホリデー
사탕수수	サトウキビ
후식	デザート
토륨	トリウム
아흐마드	アフマド
햇빛	太陽光
햇빛	日光
플러그인	プラグ
알레한드로	アレハンドロ
부룬디	ブルンジ
매카트니	マカートニー
호스	ホース
닭고기	鶏肉
닭고기	ニワトリ
닭고기	チキン
침투	貫通
아흐메드	アフマド
트위스트	ひねり
트위스트	ツイスト
에드워즈	エドワーズ
스칼렛	スカーレット
어딘가	どこか
암초	砂州
송신	送信
송신	発信
마사무네	正宗
어벤져스	アベンジャーズ
오드리	オードリー
지팡이	ロッド
정상회담	サミット
정상회담	頂上
사육	繁殖
제니스	天頂
구슬	ビーズ
옥션	競売
옥션	オークション
문어	オクトパス
문어	タコ
해커	ハッカー
숙박	宿泊
람보르기니	ランボルギーニ
화강암	花崗岩
통증이	痛み
통증이	疼痛
통증이	ペイン
배수	排水
세례	洗礼
발병	発症
